Y	M	D	H	T
2021	1	11	4	10.23
2021	1	11	5	9.97
2021	1	11	6	10.08
2021	1	11	7	14
2021	1	11	8	18.15
2021	1	11	9	20.78
2021	1	11	10	22.36
2021	1	11	11	23.05
2021	1	11	12	22.69
2021	1	11	13	21.94
2021	1	11	14	21.37
2021	1	11	15	19.99
2021	1	11	16	17.35
2021	1	11	17	14.57
2021	1	11	18	13.33
2021	1	11	19	12.4
2021	1	11	20	11.66
2021	1	11	21	11.03
2021	1	11	22	10.51
2021	1	11	23	10.13
2021	1	12	0	10.09
2021	1	12	1	10.39
2021	1	12	2	11.18
2021	1	12	3	12.47
2021	1	12	4	13.45
2021	1	12	5	13.17
2021	1	12	6	12.42
2021	1	12	7	15.11
2021	1	12	8	18.96
2021	1	12	9	21.24
2021	1	12	10	22.63
2021	1	12	11	23.46
2021	1	12	12	23.79
2021	1	12	13	23.5
2021	1	12	14	22.78
2021	1	12	15	21.24
2021	1	12	16	18.26
2021	1	12	17	14.76
2021	1	12	18	13.48
2021	1	12	19	12.45
2021	1	12	20	11.69
2021	1	12	21	11.19
2021	1	12	22	10.69
2021	1	12	23	10.44
2021	1	13	0	10.76
2021	1	13	1	12.15
2021	1	13	2	12.55
2021	1	13	3	11.63
2021	1	13	4	11.4
2021	1	13	5	11.46
2021	1	13	6	11.54
2021	1	13	7	14.27
2021	1	13	8	17.39
2021	1	13	9	19.35
2021	1	13	10	20.35
2021	1	13	11	21.12
2021	1	13	12	21.56
2021	1	13	13	21.01
2021	1	13	14	20.34
2021	1	13	15	19.3
2021	1	13	16	17.28
2021	1	13	17	14.21
2021	1	13	18	12.83
2021	1	13	19	11.55
2021	1	13	20	10.84
2021	1	13	21	10.74
2021	1	13	22	11
2021	1	13	23	10.97
2021	1	14	0	10.4
2021	1	14	1	9.62
2021	1	14	2	8.87
2021	1	14	3	8.12
2021	1	14	4	7.98
2021	1	14	5	7.89
2021	1	14	6	8.48
2021	1	14	7	12.22
2021	1	14	8	15.38
2021	1	14	9	17.9
2021	1	14	10	20.01
2021	1	14	11	20.97
2021	1	14	12	21.19
2021	1	14	13	20.9
2021	1	14	14	20.29
2021	1	14	15	19.07
2021	1	14	16	16.83
2021	1	14	17	13.06
2021	1	14	18	11.48
2021	1	14	19	10.25
2021	1	14	20	9.23
2021	1	14	21	8.41
2021	1	14	22	7.95
2021	1	14	23	7.98
2021	1	15	0	8.23
2021	1	15	1	8.26
2021	1	15	2	7.92
2021	1	15	3	7.5
2021	1	15	4	6.98
2021	1	15	5	6.67
2021	1	15	6	6.98
2021	1	15	7	11.53
2021	1	15	8	15.35
2021	1	15	9	17.65
2021	1	15	10	18.82
2021	1	15	11	19.37
2021	1	15	12	19.56
2021	1	15	13	19.4
2021	1	15	14	18.74
2021	1	15	15	17.4
2021	1	15	16	14.98
2021	1	15	17	10.9
2021	1	15	18	9.27
2021	1	15	19	7.95
2021	1	15	20	6.9
2021	1	15	21	5.98
2021	1	15	22	5.28
2021	1	15	23	4.77
2021	1	16	0	4.37
2021	1	16	1	4.08
2021	1	16	2	3.95
2021	1	16	3	3.89
2021	1	16	4	4.2
2021	1	16	5	4.33
2021	1	16	6	4.9
2021	1	16	7	9.72
2021	1	16	8	13.8
2021	1	16	9	17.48
2021	1	16	10	19.44
2021	1	16	11	20.67
2021	1	16	12	21.23
2021	1	16	13	20.94
2021	1	16	14	20
2021	1	16	15	18.43
2021	1	16	16	14.8
2021	1	16	17	10.98
2021	1	16	18	9.98
2021	1	16	19	10.16
2021	1	16	20	9.74
2021	1	16	21	7.99
2021	1	16	22	6.76
2021	1	16	23	6.29
2021	1	17	0	6.11
2021	1	17	1	5.77
2021	1	17	2	5.48
2021	1	17	3	5.24
2021	1	17	4	4.88
2021	1	17	5	4.55
2021	1	17	6	4.86
2021	1	17	7	7.85
2021	1	17	8	11.91
2021	1	17	9	15.8
2021	1	17	10	18.06
2021	1	17	11	19.49
2021	1	17	12	20.25
2021	1	17	13	20.55
2021	1	17	14	20.23
2021	1	17	15	19.09
2021	1	17	16	15.87
2021	1	17	17	11.03
2021	1	17	18	9.32
2021	1	17	19	8
2021	1	17	20	7.6
2021	1	17	21	7.24
2021	1	17	22	6.76
2021	1	17	23	6.26
2021	1	18	0	5.74
2021	1	18	1	5.01
2021	1	18	2	4.21
2021	1	18	3	3.48
2021	1	18	4	3.3
2021	1	18	5	2.73
2021	1	18	6	3.39
2021	1	18	7	6.87
2021	1	18	8	10.86
2021	1	18	9	14.59
2021	1	18	10	16.91
2021	1	18	11	18.81
2021	1	18	12	20.03
2021	1	18	13	20.34
2021	1	18	14	19.98
2021	1	18	15	18.83
2021	1	18	16	16.19
2021	1	18	17	12.43
2021	1	18	18	10.98
2021	1	18	19	10.19
2021	1	18	20	9.83
2021	1	18	21	9.46
2021	1	18	22	8.89
2021	1	18	23	8.14
2021	1	19	0	7.74
2021	1	19	1	7.62
2021	1	19	2	7.2
2021	1	19	3	6.9
2021	1	19	4	6.22
2021	1	19	5	5.76
2021	1	19	6	5.48
2021	1	19	7	9.54
